customer_key,customer_id,customer_country,first_order_date,last_order_date,total_orders,total_revenue,total_profit,avg_rating,avg_order_value,is_repeat_customer,customer_lifespan_days
147,10191,Australia,2024-09-22,2025-01-28,2,3294.23,3249.33,2.05,1647.12,True,128
148,10192,UK,2023-09-19,2023-09-19,1,2887.85,2878.84,2.6,2887.85,False,0
149,10193,Canada,2024-01-13,2025-03-22,3,4250.11,4206.08,1.9333333333333333,1416.7,True,434
150,10194,Germany,2023-05-11,2023-05-11,1,345.05,325.12,4.4,345.05,False,0
151,10196,India,2024-01-27,2024-01-27,1,2415.32,2410.57,4.2,2415.32,False,0
152,10197,UAE,2023-08-12,2024-11-24,2,2796.2,2770.7,2.5,1398.1,True,470
153,10199,UAE,2024-02-14,2025-01-05,2,1861.98,1825.28,1.5,930.99,True,326
154,10200,Australia,2023-09-21,2023-09-21,1,222.86,212.8,1.6,222.86,False,0
155,10202,Australia,2025-03-24,2025-05-17,2,514.99,485.87,4.1,257.5,True,54
156,10203,UAE,2023-10-21,2023-10-21,1,539.31,532.26,4.5,539.31,False,0
157,10204,Germany,2024-10-11,2024-10-11,1,356.65,341.88,1.1,356.65,False,0
158,10205,Canada,2023-01-05,2023-05-24,3,2164.38,2118.13,3.1999999999999997,721.46,True,139
159,10206,India,2023-04-21,2023-04-21,1,2158.4,2142.69,4.0,2158.4,False,0
160,10207,UK,2023-04-23,2023-10-04,3,6350.14,6319.96,2.9333333333333336,2116.71,True,164
161,10208,Germany,2023-01-06,2023-07-28,2,2720.15,2697.61,3.85,1360.08,True,203
162,10209,UAE,2024-09-16,2024-12-06,3,1615.06,1569.39,2.766666666666667,538.35,True,81
163,10210,Canada,2023-04-20,2025-02-04,3,2677.51,2646.46,3.233333333333333,892.5,True,656
164,10211,Australia,2023-04-18,2023-04-18,1,414.32,402.29,1.6,414.32,False,0
165,10212,Australia,2023-06-07,2024-06-24,2,3052.95,3023.71,3.5,1526.48,True,383
166,10214,India,2023-03-30,2024-11-11,5,8198.63,8109.65,2.62,1639.73,True,592
167,10215,UAE,2023-04-29,2023-12-05,3,3560.96,3513.05,2.6999999999999997,1186.99,True,220
168,10216,UK,2023-09-03,2023-09-11,2,1604.8,1578.48,2.05,802.4,True,8
169,10217,Australia,2025-05-21,2025-05-21,1,2997.25,2972.88,3.5,2997.25,False,0
170,10219,India,2024-04-08,2024-04-08,1,1392.68,1375.77,1.3,1392.68,False,0
171,10220,India,2024-07-07,2024-07-07,1,2289.55,2264.96,1.4,2289.55,False,0
172,10221,UK,2025-03-26,2025-03-26,1,1154.94,1138.59,3.3,1154.94,False,0
173,10222,Germany,2023-10-05,2023-10-05,1,495.88,483.04,3.0,495.88,False,0
174,10223,UK,2023-04-19,2023-12-09,3,3623.28,3587.15,3.3333333333333335,1207.76,True,234
175,10224,UAE,2023-04-22,2023-06-27,2,2379.12,2349.4,3.25,1189.56,True,66
176,10225,Germany,2023-03-27,2023-03-27,1,668.14,658.56,3.7,668.14,False,0
177,10227,Germany,2023-02-08,2025-05-28,3,1032.59,993.67,3.6,344.2,True,840
178,10228,Australia,2024-09-24,2025-03-25,2,1380.38,1349.31,3.5999999999999996,690.19,True,182
179,10229,UAE,2025-04-01,2025-04-01,1,889.5,869.73,3.4,889.5,False,0
180,10230,India,2024-09-28,2025-01-18,2,1378.35,1354.2,3.1,689.18,True,112
181,10231,USA,2023-04-26,2024-12-20,3,2123.47,2099.46,3.8000000000000003,707.82,True,604
182,10232,Canada,2023-09-19,2024-07-27,2,1297.12,1271.76,2.35,648.56,True,312
183,10233,UK,2024-01-24,2024-07-19,2,717.64,672.99,2.7,358.82,True,177
184,10234,UK,2023-08-16,2024-02-03,3,2026.16,1990.87,2.533333333333333,675.39,True,171
185,10235,Germany,2023-05-23,2023-09-02,2,1281.93,1257.48,3.15,640.96,True,102
186,10236,India,2023-12-14,2024-12-14,3,1804.29,1777.65,4.1000000000000005,601.43,True,366
187,10237,Canada,2024-01-29,2025-02-18,2,1578.34,1557.19,2.7,789.17,True,386
188,10238,UK,2024-12-03,2024-12-03,1,288.37,265.0,2.9,288.37,False,0
189,10239,UAE,2025-04-13,2025-04-13,1,392.61,374.06,1.3,392.61,False,0
190,10240,Australia,2024-08-02,2025-04-02,2,988.32,947.24,3.55,494.16,True,243
191,10241,Australia,2023-04-11,2025-06-09,2,445.52,419.31,3.25,222.76,True,790
192,10242,Australia,2024-04-24,2024-04-24,1,628.36,624.69,3.0,628.36,False,0
193,10243,Australia,2023-02-11,2023-03-14,2,721.3,682.56,4.0,360.65,True,31
194,10244,Canada,2025-01-28,2025-01-28,1,70.53,51.27,3.7,70.53,False,0
195,10245,UK,2023-05-19,2025-04-20,3,1586.93,1553.14,3.8000000000000003,528.98,True,702
196,10246,Canada,2023-01-03,2024-03-24,2,696.16,689.7,4.15,348.08,True,446
197,10247,Germany,2023-11-14,2024-05-20,2,1383.27,1345.3,1.95,691.64,True,188
198,10248,Germany,2023-02-18,2023-02-18,1,1619.31,1607.58,2.9,1619.31,False,0
199,10249,UK,2023-06-15,2023-11-18,4,6645.88,6593.82,2.7,1661.47,True,156
200,10250,UK,2023-08-20,2023-08-20,1,1503.6,1490.86,2.8,1503.6,False,0
201,10251,USA,2023-01-08,2023-02-20,2,648.3,633.04,3.6500000000000004,324.15,True,43
202,10252,UK,2024-01-21,2024-06-21,2,1045.9,1019.41,2.65,522.95,True,152
203,10253,Australia,2023-06-03,2023-06-03,1,1593.4,1590.5,3.3,1593.4,False,0
204,10254,UAE,2023-09-03,2024-10-28,2,3910.04,3878.77,4.7,1955.02,True,421
205,10258,Canada,2024-08-17,2024-10-19,2,2766.65,2737.32,4.5,1383.32,True,63
206,10259,India,2023-11-24,2024-12-21,2,220.6,208.63,3.3499999999999996,110.3,True,393
207,10261,UAE,2025-01-17,2025-01-17,1,535.49,532.6,2.5,535.49,False,0
208,10262,India,2023-03-12,2023-03-12,1,1267.2,1243.16,4.6,1267.2,False,0
209,10263,UAE,2023-07-13,2023-07-27,2,1980.04,1963.72,2.7,990.02,True,14
210,10266,UK,2025-05-20,2025-05-20,1,537.48,530.75,3.9,537.48,False,0
211,10267,Germany,2024-02-19,2024-02-19,1,946.02,937.93,3.7,946.02,False,0
212,10268,India,2024-05-27,2024-05-27,1,584.28,569.16,3.9,584.28,False,0
213,10269,UAE,2024-03-07,2024-03-07,1,403.45,386.5,2.8,403.45,False,0
214,10271,USA,2024-05-01,2025-01-27,2,2257.54,2232.66,3.65,1128.77,True,271
215,10272,UK,2023-03-04,2023-03-04,1,75.46,59.96,1.5,75.46,False,0
216,10273,USA,2024-06-06,2025-05-23,2,1149.46,1118.05,1.7999999999999998,574.73,True,351
217,10275,UK,2023-02-08,2023-02-08,1,1022.96,1006.04,2.1,1022.96,False,0
218,10276,USA,2023-09-10,2024-01-08,2,366.67,326.35,3.5,183.34,True,120
219,10277,Germany,2023-05-13,2025-01-19,4,4347.53,4302.83,2.275,1086.88,True,617
220,10278,UAE,2024-03-13,2024-03-13,1,668.24,646.21,4.3,668.24,False,0
221,10279,India,2024-04-19,2025-04-04,4,9612.23,9564.27,3.4,2403.06,True,350
222,10280,UK,2023-06-17,2025-03-22,3,4530.26,4482.1,2.5,1510.09,True,644
223,10281,USA,2023-02-01,2025-03-19,3,4993.77,4934.23,2.8000000000000003,1664.59,True,777
224,10282,Australia,2024-03-10,2024-03-10,1,1031.78,1026.42,1.2,1031.78,False,0
225,10283,USA,2023-01-22,2024-11-08,3,4602.62,4562.27,3.4666666666666663,1534.21,True,656
226,10285,Germany,2023-09-27,2023-09-27,1,622.01,602.96,2.4,622.01,False,0
227,10286,USA,2023-08-22,2023-08-22,1,1604.05,1599.68,3.8,1604.05,False,0
228,10287,USA,2023-09-17,2025-01-23,2,1803.57,1784.52,2.6,901.79,True,494
229,10288,UK,2024-10-07,2024-10-07,1,3170.92,3166.17,3.3,3170.92,False,0
230,10289,Australia,2023-04-15,2024-10-13,3,4250.87,4224.59,1.3,1416.96,True,547
231,10290,Canada,2024-11-09,2024-11-09,1,101.36,95.47,1.8,101.36,False,0
232,10292,USA,2024-10-08,2025-04-23,3,2262.27,2235.96,3.4333333333333336,754.09,True,197
233,10293,UAE,2023-09-30,2025-04-05,3,3637.83,3601.76,3.766666666666667,1212.61,True,553
234,10294,UAE,2024-07-30,2025-02-28,2,3280.95,3258.27,3.5500000000000003,1640.48,True,213
235,10296,UK,2023-06-01,2025-05-13,3,2066.48,2028.94,3.1999999999999997,688.83,True,712
236,10298,Australia,2024-02-20,2024-02-20,1,511.68,491.94,2.3,511.68,False,0
237,10301,UK,2024-04-05,2024-12-30,2,521.12,494.12,2.3,260.56,True,269
238,10302,USA,2024-05-28,2024-05-28,1,2279.12,2261.63,1.1,2279.12,False,0
239,10303,USA,2024-02-06,2025-03-06,2,1552.15,1510.68,2.6,776.08,True,394
240,10305,Australia,2023-05-03,2023-05-03,1,435.43,413.39,2.0,435.43,False,0
241,10306,Germany,2024-08-25,2024-08-25,1,595.23,577.53,2.0,595.23,False,0
242,10307,Germany,2024-02-19,2024-02-19,1,558.4,541.06,1.1,558.4,False,0
243,10308,India,2024-09-06,2024-09-06,1,335.14,317.05,4.9,335.14,False,0
244,10310,UK,2024-06-17,2025-06-06,5,7372.46,7297.83,4.4,1474.49,True,354
245,10311,India,2023-02-06,2023-05-15,2,1910.9,1891.26,3.45,955.45,True,98
246,10312,UAE,2024-12-15,2025-03-04,2,2475.97,2461.42,2.75,1237.99,True,79
247,10313,UK,2023-08-18,2023-08-18,1,375.52,350.62,3.7,375.52,False,0
248,10314,Australia,2023-02-19,2023-02-19,1,2225.16,2209.43,3.5,2225.16,False,0
249,10315,Canada,2024-07-02,2024-07-02,1,545.65,524.11,3.7,545.65,False,0
250,10316,UAE,2023-08-10,2025-03-29,2,3646.87,3616.56,1.4,1823.44,True,597
251,10317,USA,2023-08-14,2023-08-14,1,1694.2,1673.18,2.7,1694.2,False,0
252,10318,Canada,2023-09-10,2023-09-10,1,1023.12,1015.63,3.7,1023.12,False,0
253,10320,Canada,2024-08-21,2024-08-21,1,1794.92,1774.6,4.5,1794.92,False,0
254,10321,Australia,2023-04-17,2025-03-02,2,1651.59,1603.55,3.25,825.8,True,685
255,10322,Canada,2023-10-04,2025-01-27,2,2219.6,2195.62,4.0,1109.8,True,481
256,10325,Germany,2024-07-27,2025-06-06,3,3380.58,3360.38,3.0,1126.86,True,314
257,10326,UAE,2024-08-29,2024-08-29,1,369.92,351.3,2.5,369.92,False,0
258,10327,Canada,2024-01-06,2024-01-06,1,1164.04,1141.8,4.7,1164.04,False,0
259,10329,USA,2023-08-02,2024-07-21,3,3872.42,3842.41,3.266666666666667,1290.81,True,354
260,10330,Germany,2023-03-19,2024-12-22,4,6099.93,6046.1,3.45,1524.98,True,644
261,10331,Australia,2024-04-30,2024-11-22,2,613.08,563.5,3.0999999999999996,306.54,True,206
262,10332,Australia,2023-12-20,2024-01-03,2,5141.0,5117.34,3.45,2570.5,True,14
263,10334,USA,2023-04-01,2025-03-15,3,3372.0,3350.72,2.6999999999999997,1124.0,True,714
264,10335,UAE,2024-04-11,2024-04-11,1,281.1,277.54,3.9,281.1,False,0
265,10337,UK,2023-12-17,2024-05-25,2,2303.15,2283.81,1.4,1151.58,True,160
266,10338,UAE,2024-01-30,2025-03-17,2,687.93,669.01,4.6,343.96,True,412
267,10340,Canada,2025-02-16,2025-02-16,1,1475.28,1451.05,2.0,1475.28,False,0
268,10341,UK,2023-05-11,2023-05-11,1,2219.68,2217.37,1.8,2219.68,False,0
269,10343,Australia,2023-12-17,2023-12-17,1,692.04,674.5,3.4,692.04,False,0
270,10344,UAE,2023-08-15,2025-03-28,3,1193.14,1153.26,3.4333333333333336,397.71,True,591
271,10345,UAE,2025-05-08,2025-05-08,1,44.28,21.16,1.2,44.28,False,0
272,10346,USA,2024-08-09,2024-11-30,2,2272.02,2240.16,2.55,1136.01,True,113
273,10347,Canada,2024-04-15,2024-04-15,1,1674.55,1659.35,3.2,1674.55,False,0
274,10349,UAE,2025-01-07,2025-01-07,1,847.23,843.04,2.4,847.23,False,0
275,10350,Canada,2023-05-14,2023-07-22,2,2733.9,2710.45,2.6,1366.95,True,69
276,10351,USA,2023-08-11,2023-11-21,2,745.27,737.91,3.65,372.64,True,102
277,10352,USA,2024-01-17,2025-04-25,4,6322.53,6278.58,2.45,1580.63,True,464
278,10353,India,2024-04-17,2024-04-17,1,650.06,633.17,4.5,650.06,False,0
279,10354,Australia,2025-05-16,2025-05-16,1,1027.14,1012.1,1.3,1027.14,False,0
280,10355,USA,2023-06-03,2023-06-03,1,936.25,922.75,2.8,936.25,False,0
281,10356,UK,2024-04-28,2024-04-28,1,637.58,626.14,3.4,637.58,False,0
282,10359,India,2025-05-21,2025-05-21,1,2049.44,2027.16,2.4,2049.44,False,0
283,10360,UK,2025-06-13,2025-06-13,1,2145.04,2135.48,3.9,2145.04,False,0
284,10361,Canada,2024-03-20,2024-10-16,2,2727.37,2708.25,2.05,1363.68,True,210
285,10362,USA,2025-06-07,2025-06-07,1,1807.35,1803.69,3.8,1807.35,False,0
286,10364,UAE,2025-01-27,2025-01-27,1,270.08,251.62,1.6,270.08,False,0
287,10365,Australia,2023-06-21,2023-06-21,1,886.36,882.43,4.1,886.36,False,0
288,10366,India,2023-05-12,2023-05-12,1,257.96,240.27,4.9,257.96,False,0
289,10367,Germany,2023-01-02,2023-01-02,1,765.84,749.44,1.1,765.84,False,0
290,10368,India,2023-03-18,2025-06-10,6,8515.1,8437.16,3.533333333333333,1419.18,True,815
291,10369,USA,2024-03-05,2024-03-05,1,1143.12,1132.16,2.8,1143.12,False,0
292,10370,Canada,2025-05-23,2025-05-23,1,972.36,947.8,2.9,972.36,False,0
293,10371,Australia,2023-03-21,2023-03-21,1,1449.1,1445.84,2.0,1449.1,False,0
294,10372,USA,2025-02-14,2025-02-14,1,372.76,354.51,2.7,372.76,False,0
